key,title,description,cost,acceptance-criteria,priority,link,key:manager,draftMode
user-story-01,Title,Description,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-02,1,Description,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-03,12,Description,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-04,Este texto tiene 75 caracteres. Quiero probar los límites superiores.......,Description,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-05,Este texto tiene 74 caracteres. Quiero probar los límites superiores......,Description,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-06,<h1>hola</h1>,Description,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-07,"<script>alert(""hola"")</script>",Description,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-08,你好,Description,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-09,Здравейте,Description,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-10,Title,1,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-11,Title,12,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-12,Title,Este texto tiene 100 caracteres. Quiero probar los límites superiores de un texto bastante largo....,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-13,Title,Este texto tiene 99 caracteres. Quiero probar los límites superiores de un texto bastante largo...,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-14,Title,<h1>hola</h1>,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-15,Title,"<script>alert(""hola"")</script>",1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-16,Title,你好,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-17,Title,Здравейте,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-18,Title,Description,100,Criteria,MUST,https://www.example.com,manager-01,false
user-story-19,Title,Description,1,1,MUST,https://www.example.com,manager-01,false
user-story-20,Title,Description,1,12,MUST,https://www.example.com,manager-01,false
user-story-21,Title,Description,1,Este texto tiene 100 caracteres. Quiero probar los límites superiores de un texto bastante largo....,MUST,https://www.example.com,manager-01,false
user-story-22,Title,Description,1,Este texto tiene 99 caracteres. Quiero probar los límites superiores de un texto bastante largo...,MUST,https://www.example.com,manager-01,false
user-story-23,Title,Description,1,<h1>hola</h1>,MUST,https://www.example.com,manager-01,false
user-story-24,Title,Description,1,"<script>alert(""hola"")</script>",MUST,https://www.example.com,manager-01,false
user-story-25,Title,Description,1,你好,MUST,https://www.example.com,manager-01,false
user-story-26,Title,Description,1,Здравейте,MUST,https://www.example.com,manager-01,false
user-story-27,Title,Description,1,Criteria,SHOULD,https://www.example.com,manager-01,false
user-story-28,Title,Description,1,Criteria,COULD,https://www.example.com,manager-01,false
user-story-29,Title,Description,1,Criteria,WONT,https://www.example.com,manager-01,false
user-story-30,Title,Description,1,Criteria,MUST,https://www.1.com,manager-01,false
user-story-31,Title,Description,1,Criteria,MUST,https://www.12.com,manager-01,false
user-story-32,Title,Description,1,Criteria,MUST,https://www.123121231231231231231231231231232131232131231232132131231232133333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333sasdd3333333333333333333333333333333333333333333313123123123123123ssadsadd.com,manager-01,false
user-story-33,Title,Description,1,Criteria,MUST,https://www.123121231231231231231231231231232131232131231232132131231232133333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333sasdd3333333333333333333333333333333333333333333313123123123123123ssadsad.com,manager-01,false
user-story-34,Title,Description,1,Criteria,MUST,https://www.你好.com,manager-01,false
user-story-35,Title,Description,1,Criteria,MUST,https://www.Здравейте.com,manager-01,false
user-story-36,Title,Description,1,Criteria,MUST,https://www.example.com,manager-01,false
user-story-37,Title,Description,2,Criteria,MUST,https://www.example.com,manager-01,false
user-story-38,Title,Description,1000000000,Criteria,MUST,https://www.example.com,manager-01,false
user-story-39,Title,Description,999999999,Criteria,MUST,https://www.example.com,manager-01,false
user-story-40,Title,Description,1,Criteria,MUST,null,manager-01,false
user-story-41,Title,Description,1,Criteria,MUST,ftp://www.example.com,manager-01,false
user-story-42,Title,Description,1,Criteria,MUST,http://www.example.com,manager-02,false
user-story-43,Title,Description,1,Criteria,MUST,https://www.example.com,manager-01,true